Crop Type,Season,Soil Type,Farm Size,Soil Ph,Soil Moisture (%),Rainfall (mm),Avg Temperature (°C),Irrigation Type,Fertilizer Used (kg),Pesticide Used (kg),Seed Quality,Farming Practice,Farmer Experience (years),Access to Credit,Govt. Subsidy Received,Expected Yield (kg per acre),Actual Yield (kg per acre),Yield Success
Wheat,Kharif,Black,18.12,8.3,63.1,1487.8,24.7,Rainfed,51.6,0.99,Local,Mixed,29,1,1,2789,1306,0
Cotton,Rabi,Loamy,19.93,7.9,42.3,561.3,19.5,Flood,10.9,7.58,Certified,Conventional,13,1,1,327,643,1
Sugarcane,Kharif,Clay,16.68,6,25.5,847.6,21.9,Flood,11,5.3,Local,Conventional,29,1,1,27417,37753,1
Wheat,Kharif,Clay,17.05,5.3,47.5,628.4,39.5,Flood,60.7,6.65,Hybrid,Organic,6,1,0,2348,3338,1
Sugarcane,Rabi,Sandy,5.73,5.6,43.7,772.8,34.5,Rainfed,63.7,5.28,Certified,Conventional,5,1,0,37603,34460,0
Sugarcane,Rabi,Sandy,11.96,5.4,72,1314,24,Rainfed,12.5,5.17,Hybrid,Conventional,34,1,1,36931,29402,0
Rice,Kharif,Loamy,2.28,5.4,34.6,1089.5,19.6,Flood,85.6,2.13,Certified,Mixed,11,0,0,3221,3517,1
Cotton,Kharif,Clay,2.8,6.8,78,1347.2,34.6,Rainfed,42.3,3.15,Hybrid,Conventional,9,1,0,357,266,0
Wheat,Kharif,Loamy,19.98,5.9,77.5,464.6,31.7,Flood,71.6,2.01,Local,Conventional,38,0,0,2407,1857,0
Sugarcane,Rabi,Loamy,7.21,6.3,34.9,1335.4,27.7,Flood,43.1,2.36,Hybrid,Conventional,9,0,1,37626,44513,1
Wheat,Rabi,Silty,15.22,8.5,40.9,277.7,26.7,Flood,28.4,9.74,Local,Mixed,8,0,0,1918,2677,1
Sugarcane,Rabi,Sandy,16.33,7.4,73.7,1355.2,23.2,Sprinkler,54.8,1.95,Hybrid,Organic,3,0,1,35491,22522,0
Wheat,Rabi,Loamy,17.3,8.3,78,627.8,34.1,Drip,35.6,3.06,Certified,Organic,13,1,0,2928,2743,0
Rice,Rabi,Loamy,19.95,5.5,46.6,609,41.3,Sprinkler,68.8,6.11,Hybrid,Conventional,19,1,1,2643,4341,1
Cotton,Rabi,Black,5.59,6.3,39.3,865.7,22.2,Flood,31.9,6.3,Hybrid,Mixed,34,1,1,361,636,1
Rice,Zaid,Loamy,1.77,6.9,51.6,1422.9,32.3,Sprinkler,65.9,1.96,Hybrid,Mixed,32,0,0,2200,3277,1
Wheat,Kharif,Silty,8.81,5.3,61.3,262.1,28.2,Flood,27.3,8.04,Certified,Conventional,16,0,0,2519,1336,0
Cotton,Kharif,Clay,3.47,5,36.4,657.9,28.7,Rainfed,83.8,7.96,Hybrid,Mixed,36,0,0,416,598,1
Cotton,Kharif,Loamy,1.43,7.3,64.2,1313.5,24.1,Sprinkler,92.9,2.75,Certified,Conventional,18,1,0,327,582,1
Maize,Kharif,Clay,7.85,7.2,23.1,714.9,37.8,Flood,22.1,3.24,Certified,Mixed,14,0,1,2708,3481,1
Maize,Rabi,Sandy,15.89,6.4,23,458.9,29.6,Drip,61.5,9.41,Hybrid,Organic,30,1,1,2309,1798,0
Wheat,Zaid,Black,11.76,6.7,43.2,752.2,31,Drip,17.8,8.34,Certified,Organic,2,1,0,2764,1319,0
Rice,Kharif,Loamy,6.94,6.5,41.2,701.2,25.3,Rainfed,75.8,7.13,Local,Organic,13,0,1,3328,2626,0
Wheat,Kharif,Clay,13.43,5.1,38.9,1390,22.4,Flood,39.1,1.28,Hybrid,Conventional,27,1,0,2537,2871,1
Maize,Rabi,Clay,5.41,6.2,49.5,1190.5,20.1,Rainfed,68,4.47,Local,Mixed,17,0,1,2792,1583,0
Sugarcane,Zaid,Loamy,1.27,5.6,39.2,856.7,35.1,Drip,66.9,5.81,Hybrid,Conventional,31,1,1,28686,45960,1
Sugarcane,Kharif,Clay,15.52,5.3,31.5,1484.9,22.7,Flood,111.7,2.28,Hybrid,Mixed,15,0,0,26181,30120,1
Sugarcane,Rabi,Clay,12.85,8.3,38.6,804.9,34.6,Sprinkler,70.4,4.76,Certified,Conventional,20,1,1,37094,34556,0
Rice,Kharif,Silty,15.48,7.1,78.5,275.7,27.4,Sprinkler,74.1,6.21,Local,Organic,5,0,0,2154,2873,1
Wheat,Kharif,Loamy,1.74,7.6,44.7,541,28,Drip,54.2,3.61,Hybrid,Conventional,7,0,0,1986,4044,1
Rice,Zaid,Loamy,16.91,6.1,46.7,766.9,29.3,Drip,114.4,7.92,Local,Conventional,18,0,0,3070,4001,1
Wheat,Zaid,Black,12.77,6.4,54.6,404,26.8,Sprinkler,95.5,8.48,Hybrid,Mixed,11,1,0,2423,3807,1
Wheat,Kharif,Clay,11.7,5.8,79,1431.8,20.4,Drip,41.4,3.57,Certified,Conventional,32,0,1,2570,1532,0
Sugarcane,Zaid,Black,12.87,5.3,34.5,1196.9,25.4,Rainfed,102.9,8.47,Hybrid,Conventional,27,1,0,32398,34272,1
Wheat,Rabi,Loamy,17.42,5.6,60.9,548.8,33.9,Sprinkler,57.6,1.48,Certified,Conventional,26,1,0,2572,1971,0
Rice,Zaid,Black,12.15,7.8,63,968,34,Drip,101.2,8.46,Hybrid,Conventional,37,1,0,3345,1924,0
Rice,Rabi,Sandy,12.04,7.4,56.4,1137.9,24.9,Drip,100.5,1.95,Certified,Mixed,28,0,0,2281,2743,1
Sugarcane,Rabi,Black,19.82,6.9,25.3,1423.7,29,Flood,30.8,1.29,Hybrid,Organic,2,1,0,26611,41538,1
Maize,Rabi,Black,15.38,6.7,60.6,1346.1,22.6,Drip,87.1,6.6,Local,Mixed,20,0,0,3035,3130,1
Rice,Rabi,Loamy,9.4,8.2,23.8,869.7,23,Rainfed,42,4.98,Hybrid,Conventional,4,0,0,3006,1932,0
Rice,Kharif,Black,14.44,5.3,55.8,1207,18.6,Rainfed,42.7,9.12,Local,Conventional,13,1,1,2508,1928,0
Maize,Kharif,Loamy,8.4,6,64.4,930.8,39.5,Sprinkler,42.6,3.95,Hybrid,Mixed,24,0,1,2484,2601,1
Rice,Kharif,Loamy,5.35,6.2,32.7,918.5,23.1,Flood,89.8,3.23,Hybrid,Conventional,38,1,0,2176,3556,1
Sugarcane,Rabi,Loamy,12.34,7.7,70.5,349.2,23.5,Drip,35.3,5.26,Local,Conventional,29,0,1,36390,25226,0
Maize,Kharif,Sandy,18.64,8.5,21.8,364,24.7,Flood,10.1,4.83,Local,Organic,36,1,1,2510,2998,1
Rice,Rabi,Clay,18.65,5.8,70.6,888.4,21.1,Flood,88.7,3.77,Local,Conventional,2,1,1,3183,2925,0
Rice,Zaid,Sandy,7.5,8.1,47.6,549.5,33.3,Sprinkler,28.8,7.09,Certified,Mixed,18,1,0,3098,2010,0
Cotton,Kharif,Sandy,11.03,7.9,33.1,227.3,19.8,Sprinkler,21.5,7.72,Hybrid,Conventional,8,1,1,438,460,1
Wheat,Rabi,Silty,5.02,5.8,28,1139.7,21.2,Flood,36.1,8.6,Certified,Mixed,15,1,0,2693,2822,1
Wheat,Kharif,Black,19.92,6.4,77.2,242.2,33.5,Flood,51.8,9.74,Hybrid,Conventional,17,1,1,2763,2599,0
Sugarcane,Zaid,Loamy,19.64,6.4,24.4,973.9,26.2,Drip,62.3,3.03,Hybrid,Organic,23,1,0,38959,29542,0
Cotton,Kharif,Loamy,13.34,8.4,31.9,901,35,Flood,14.9,7.3,Local,Organic,2,1,1,358,312,0
Cotton,Rabi,Loamy,16.28,5.6,40.9,1459.5,31.4,Flood,116.8,4.25,Local,Conventional,6,1,0,500,497,0
Sugarcane,Rabi,Clay,14.59,7.8,57.2,829.5,24.1,Rainfed,88.8,6.93,Hybrid,Mixed,29,0,1,26014,45717,1
Wheat,Zaid,Clay,12.27,6.2,52.7,282.7,33.6,Drip,45.6,5.02,Certified,Conventional,27,0,0,2084,3366,1
Rice,Rabi,Loamy,2.01,7.6,27.5,917.2,20.8,Rainfed,45.1,9.94,Local,Conventional,37,0,0,3492,1411,0
Sugarcane,Rabi,Loamy,9.64,6.5,37.4,1293.4,30.9,Flood,59.3,7.42,Certified,Mixed,34,0,0,25917,46619,1
Maize,Rabi,Black,13.82,7,34.3,1495.9,28.5,Drip,78.9,9.55,Hybrid,Mixed,18,0,0,2078,3813,1
Wheat,Zaid,Sandy,13.87,7.9,32.8,759.4,24.4,Flood,26.1,8.43,Certified,Organic,10,0,1,2460,2859,1
Cotton,Rabi,Loamy,8.09,7.8,44.7,616.4,32.5,Flood,30.8,9.08,Hybrid,Mixed,38,1,0,532,302,0
Rice,Kharif,Sandy,18.89,8,62.2,1378.6,38.9,Rainfed,104.5,8.24,Local,Conventional,17,0,0,3262,1460,0
Wheat,Zaid,Clay,4.18,5.2,33,448.6,42,Drip,38.2,4.86,Certified,Organic,13,1,0,1805,3156,1
Rice,Rabi,Loamy,10.51,7.4,42,1000.1,32.6,Flood,51.8,2.89,Hybrid,Conventional,27,0,0,3259,1963,0
Wheat,Rabi,Sandy,14.13,5.5,43.5,727.4,27.7,Sprinkler,105.8,4.02,Certified,Conventional,2,0,0,1529,2552,1
Rice,Kharif,Loamy,14.25,6.5,78.6,253.4,23.4,Rainfed,82.9,0.69,Local,Conventional,34,1,0,2614,2407,0
Rice,Rabi,Loamy,13.32,6.9,77.3,651.5,24.2,Sprinkler,47.6,5.48,Local,Conventional,31,0,1,2961,1560,0
Rice,Kharif,Black,6.23,6.4,68,544.8,29.5,Rainfed,85.2,5.3,Certified,Organic,23,1,0,2427,2517,1
Maize,Rabi,Black,3.97,6.8,34.5,1091.9,26.8,Rainfed,12.2,5.49,Certified,Mixed,7,1,0,2311,1905,0
Maize,Kharif,Sandy,13.08,8.5,24.1,1433.4,39.9,Sprinkler,90.9,9.75,Hybrid,Mixed,38,1,0,2676,2141,0
Maize,Rabi,Sandy,12.39,5.5,39,548.5,26.8,Rainfed,63.6,9.16,Certified,Mixed,33,0,1,2512,1966,0
Cotton,Zaid,Sandy,4.41,7.4,36,1254.9,27,Rainfed,99.5,2.04,Hybrid,Conventional,12,0,0,438,268,0
Wheat,Kharif,Loamy,14.4,6.4,50.4,272,27.2,Sprinkler,115,4,Certified,Conventional,12,0,0,2991,2794,0
Rice,Zaid,Loamy,9.65,5.5,66.7,899.6,38.1,Flood,111.8,4.53,Certified,Conventional,19,1,1,3144,3552,1
Sugarcane,Kharif,Clay,13.69,5.6,71.5,291.7,33.6,Flood,110,3.93,Hybrid,Organic,9,1,0,25357,40772,1
Rice,Zaid,Loamy,16.91,8.3,70.7,1414.2,32.7,Sprinkler,66.3,8.09,Certified,Conventional,10,0,1,2240,3561,1
Cotton,Rabi,Sandy,4.22,8.1,41.6,1196.3,26,Drip,49.6,5.48,Local,Conventional,17,1,0,576,403,0
Rice,Rabi,Loamy,1.36,8.2,61.2,1055.3,37.6,Sprinkler,61.2,5.93,Certified,Mixed,39,0,0,2043,1769,0
Cotton,Rabi,Black,15.8,8.5,38.8,1271.1,18.9,Sprinkler,85.9,8.6,Certified,Conventional,10,1,1,541,362,0
Rice,Zaid,Black,12.58,5.7,23.7,1041.8,38.9,Flood,107.2,8.16,Local,Conventional,12,1,1,3322,3756,1
Sugarcane,Kharif,Silty,14.29,6.2,62.1,1459.6,30.3,Drip,32.8,1.76,Hybrid,Conventional,15,1,0,37349,47512,1
Wheat,Kharif,Sandy,16.92,7.3,20.6,1128.1,27.6,Rainfed,111,7.28,Hybrid,Conventional,31,0,1,1530,2438,1
Cotton,Rabi,Black,16.25,6.7,44.6,1402.1,29.9,Flood,99.7,4.64,Certified,Conventional,15,1,0,484,554,1
Rice,Rabi,Clay,19.26,6.5,39.8,872.3,34,Drip,117.7,3.3,Hybrid,Conventional,28,1,0,2672,4782,1
Maize,Rabi,Silty,11.18,6.3,61.6,352.2,18.3,Flood,106.8,0.98,Hybrid,Conventional,4,1,0,2359,1856,0
Cotton,Rabi,Clay,10.28,7.1,66,886.6,38.9,Flood,40.8,5.13,Certified,Conventional,36,1,1,465,481,1
Wheat,Kharif,Silty,8.64,7,38.2,364.9,28.7,Rainfed,21.7,3.88,Local,Organic,1,1,0,1618,1877,1
Maize,Rabi,Loamy,3.92,5.6,68.7,970.2,26.2,Drip,22.3,2.89,Hybrid,Mixed,34,1,0,2584,4029,1
Maize,Kharif,Black,11.88,6.7,37.6,827.2,21.3,Sprinkler,42,7.1,Hybrid,Mixed,17,0,1,2493,3076,1
Wheat,Rabi,Black,6.26,6.9,46.8,1009.3,28.5,Rainfed,77.6,7.81,Hybrid,Conventional,39,1,1,2528,2524,0
Maize,Kharif,Clay,18.5,7,63.6,213.1,29.9,Rainfed,98.5,2.83,Hybrid,Organic,38,0,1,2433,2780,1
Maize,Kharif,Loamy,12.08,5.7,61.6,453.3,27.7,Flood,108.9,0.97,Certified,Mixed,33,0,0,2388,3685,1
Cotton,Kharif,Black,12.26,7.6,79.2,838.7,34.3,Rainfed,78.6,8.56,Hybrid,Conventional,21,1,1,326,548,1
Rice,Kharif,Loamy,7.74,5.1,33.5,1435.7,28.1,Drip,10.6,0.59,Certified,Conventional,26,1,1,2732,4525,1
Rice,Rabi,Black,1.99,6.2,59.7,698.7,41.1,Flood,30.5,9.4,Hybrid,Organic,36,0,0,2661,3285,1
Cotton,Kharif,Sandy,1.6,7.7,56.6,751.7,32.4,Sprinkler,21,6.46,Local,Conventional,5,1,0,495,201,0
Sugarcane,Kharif,Loamy,9.04,7,74.9,1129.1,37.4,Drip,50,3.56,Hybrid,Mixed,33,1,0,35080,49016,1
Wheat,Kharif,Loamy,2.61,5.9,29.4,984.9,20.6,Rainfed,65.1,2.84,Local,Mixed,1,1,0,2180,3139,1
Maize,Kharif,Loamy,12.53,7.4,65.1,588.6,27.5,Drip,14.8,0.59,Certified,Conventional,6,0,1,3120,3595,1
Rice,Kharif,Silty,17.74,7,54.1,734.1,26.1,Flood,48.3,2.74,Hybrid,Conventional,37,0,0,3325,3335,1
Rice,Kharif,Loamy,17.78,7.8,36.5,483,31.7,Rainfed,29.7,1.81,Local,Organic,2,0,1,3375,2275,0
Wheat,Rabi,Sandy,13.52,7.6,48.5,1455.8,38.7,Drip,81.2,6.32,Hybrid,Organic,5,0,0,2236,2902,1
Wheat,Rabi,Loamy,5.01,7.1,40,369.8,19.9,Rainfed,61.1,2.08,Hybrid,Mixed,26,1,0,1667,1422,0
Maize,Rabi,Sandy,17.4,6.7,54.8,683.4,19.7,Rainfed,64.5,5.52,Certified,Conventional,13,1,1,2808,2303,0
Rice,Rabi,Black,17.84,5.5,73.3,233.6,38.4,Flood,57,6.11,Hybrid,Conventional,12,1,0,2559,2371,0
Cotton,Kharif,Black,4.74,5.9,54.2,488.3,23.1,Drip,115.2,3.33,Certified,Mixed,5,1,0,310,524,1
Cotton,Zaid,Loamy,15.01,6.5,57.9,1214.6,34.1,Sprinkler,33.6,0.83,Local,Mixed,2,1,1,536,230,0
Maize,Rabi,Black,6.44,7.1,51.1,461.5,31,Flood,66.8,0.85,Certified,Mixed,4,1,0,2280,2224,0
Wheat,Rabi,Silty,16.25,6.8,23.1,304.1,38,Sprinkler,91,0.75,Local,Organic,27,1,0,2616,1818,0
Wheat,Kharif,Sandy,19.95,6,34,816.8,21,Sprinkler,71.3,7.52,Hybrid,Organic,10,1,0,2343,2221,0
Sugarcane,Kharif,Black,1.57,5,49.5,213,21.1,Rainfed,112.2,3.52,Certified,Conventional,13,1,0,26828,34255,1
Maize,Kharif,Loamy,18.05,6.7,38.6,310.2,31.4,Drip,51.6,8.06,Hybrid,Conventional,2,0,0,1829,4038,1
Rice,Kharif,Clay,12.83,6,30.9,1249.9,40.7,Flood,61,4.6,Local,Mixed,26,0,1,2457,3761,1
Cotton,Rabi,Black,19.49,7.6,50.2,1202.9,28,Drip,19.7,4.8,Local,Conventional,15,0,1,327,680,1
Sugarcane,Rabi,Loamy,9.84,5.1,39.4,1389.7,25.8,Flood,77,5.37,Certified,Mixed,10,1,0,27562,39853,1
Cotton,Rabi,Black,17.1,7,35.5,1310.9,32.6,Rainfed,41.7,7.27,Certified,Conventional,22,1,1,391,518,1
Maize,Rabi,Black,2.19,8.3,47.8,1088.1,40.3,Sprinkler,27.6,3.1,Certified,Mixed,25,1,0,2265,2834,1
Maize,Rabi,Clay,7.37,5.6,28,268,38.1,Drip,69.9,1.66,Certified,Conventional,15,1,1,2353,3684,1
Wheat,Rabi,Black,2.27,6.7,75.7,1217.7,41.9,Flood,68.6,5.78,Hybrid,Mixed,13,1,1,2938,1421,0
Cotton,Zaid,Loamy,19.53,5.3,72.1,1299.2,18.5,Flood,18.3,3.61,Local,Organic,8,0,1,359,545,1
Sugarcane,Kharif,Sandy,16.52,7.2,62.5,1238.8,20.7,Flood,86.8,4.7,Hybrid,Conventional,21,0,0,29530,32205,1
Rice,Kharif,Sandy,17.2,6.9,26.4,861,32.6,Sprinkler,78.6,6.65,Hybrid,Mixed,21,1,0,2467,2814,1
Rice,Kharif,Black,18.82,6.4,66.6,502.8,37.7,Sprinkler,30.8,5.19,Hybrid,Conventional,22,1,1,2874,4261,1
Wheat,Rabi,Clay,2.62,6.8,68.5,1298.9,24.8,Rainfed,61.6,6.39,Hybrid,Conventional,33,1,0,1572,1376,0
Sugarcane,Zaid,Loamy,8.33,8.1,66.1,1145.3,23.7,Rainfed,89.2,5.67,Certified,Mixed,27,1,1,33797,30359,0
Cotton,Kharif,Silty,2.35,5.7,26.8,1475,36.9,Flood,68.2,7.53,Hybrid,Conventional,22,1,0,334,579,1
Rice,Zaid,Silty,5.01,5.1,58.6,402.4,19.4,Rainfed,53.5,7.21,Local,Conventional,30,1,1,2764,3307,1
Maize,Kharif,Silty,5.36,8,70.1,493.4,26.9,Flood,45.5,5.57,Hybrid,Organic,9,1,0,2235,1897,0
Wheat,Zaid,Clay,9.91,7,54.6,475.3,30.1,Flood,77.1,6.95,Certified,Mixed,35,1,0,1751,1374,0
Cotton,Kharif,Loamy,6.1,8.1,58.8,1230.3,31.4,Drip,113.3,8.8,Certified,Conventional,18,1,0,591,396,0
Sugarcane,Kharif,Loamy,2.92,7.1,47.5,443,35.5,Flood,83.9,4.61,Certified,Conventional,5,1,1,36454,33043,0
Sugarcane,Rabi,Black,4.18,7.8,51.7,286.7,26.5,Flood,18.2,4.42,Hybrid,Organic,27,1,0,35653,33629,0
Wheat,Kharif,Loamy,3.8,6.5,22.1,1498.1,32.7,Drip,60.7,7.76,Local,Conventional,6,0,0,2492,1839,0
Wheat,Kharif,Loamy,19.49,7.6,58.3,232.3,32,Flood,108,6.03,Certified,Organic,32,1,0,2517,2522,1
Rice,Kharif,Black,15.43,8.2,24.9,1285.8,31.1,Rainfed,20.4,1.17,Local,Organic,8,0,1,2282,3296,1
Rice,Rabi,Clay,19.39,7,46.1,675,33.4,Flood,118.8,8.98,Hybrid,Conventional,39,0,1,3359,4141,1
Sugarcane,Rabi,Black,9.36,5.6,37.6,1294.1,24.2,Flood,114.4,0.79,Hybrid,Organic,21,0,0,39580,49612,1
Sugarcane,Kharif,Silty,6.29,5.9,52.7,921,20,Rainfed,18.6,7.61,Local,Organic,18,0,1,31165,24618,0
Cotton,Rabi,Black,16.17,5.7,28,1372.1,20.9,Drip,112.7,7.71,Certified,Conventional,14,0,1,446,650,1
Cotton,Rabi,Loamy,7.2,5.9,61.5,1404.1,23.4,Flood,49.9,9.55,Local,Organic,15,0,1,390,269,0
Maize,Kharif,Clay,6.69,6.1,67.7,211.8,30,Rainfed,102.9,1.01,Certified,Conventional,26,1,0,2594,2717,1
Sugarcane,Kharif,Silty,5.42,6.9,29.8,298,38.2,Flood,56,6.17,Hybrid,Organic,32,1,1,25589,46153,1
Cotton,Kharif,Black,3.46,7.1,26.3,525.5,34.8,Sprinkler,58.5,4.56,Local,Conventional,39,0,0,528,516,0
Sugarcane,Kharif,Silty,5.87,6.5,28.7,1070.1,36.9,Drip,79.8,3.64,Local,Conventional,28,0,0,32377,29027,0
Rice,Rabi,Clay,7.75,7.2,72.6,1354.8,26.4,Rainfed,95.2,1.36,Hybrid,Mixed,39,0,1,2855,4208,1
Wheat,Kharif,Silty,13.81,5.3,51.7,797.9,27.7,Flood,13.7,5.85,Hybrid,Conventional,32,0,1,2875,2706,0
Rice,Rabi,Silty,2.19,5.3,48,989.1,27.4,Rainfed,75.2,5.05,Hybrid,Organic,13,0,1,2326,3924,1
Cotton,Rabi,Silty,5,5.6,26.4,445,22.6,Flood,30.5,1.49,Local,Organic,15,0,0,482,608,1
Maize,Kharif,Silty,16.37,6.8,59,1246.5,19.5,Flood,48.1,6.32,Certified,Conventional,18,0,0,3156,2756,0
Rice,Rabi,Black,3.79,5.7,72.1,1457.5,32.2,Rainfed,48.3,7.51,Local,Mixed,39,1,0,2050,2615,1
Maize,Kharif,Sandy,7.51,6,69.7,549.2,41.7,Flood,61.6,7.79,Hybrid,Conventional,6,0,1,2176,2560,1
Maize,Zaid,Clay,17.43,6.4,57.6,843.3,22,Sprinkler,46.8,9.1,Hybrid,Conventional,11,0,0,2587,2365,0
Wheat,Rabi,Loamy,3.94,7.8,24.5,312,19.1,Flood,21.8,4.39,Hybrid,Organic,32,0,0,1633,4048,1
Rice,Rabi,Clay,2.57,5,26.7,926.9,36.7,Rainfed,26,9.55,Hybrid,Conventional,20,0,0,2647,3005,1
Maize,Rabi,Loamy,10.21,7.3,23,853.6,24.1,Sprinkler,13.7,8.72,Local,Conventional,33,1,0,1914,2937,1
Wheat,Kharif,Loamy,6.75,7.3,35.4,387.8,37.9,Sprinkler,61.7,3.32,Hybrid,Conventional,8,1,1,2672,1527,0
Sugarcane,Rabi,Clay,11.7,7.8,28.1,774.7,34.9,Drip,115,2.01,Local,Mixed,35,0,0,30188,36777,1
Wheat,Zaid,Loamy,16.27,8.3,35.6,634.3,40.7,Rainfed,22.7,4.64,Certified,Conventional,5,0,1,2539,2814,1
Sugarcane,Rabi,Clay,3.61,5.1,43.1,878.4,27.8,Drip,114.1,4.32,Hybrid,Organic,35,1,1,31360,45671,1
Maize,Rabi,Black,12.03,5.5,76.6,961.4,33.9,Flood,90.7,5.97,Local,Conventional,14,1,0,2776,1581,0
Maize,Zaid,Black,10.6,8.1,56.6,211,29.2,Flood,80.1,6.04,Hybrid,Conventional,21,0,0,2397,3588,1
Sugarcane,Kharif,Clay,3.74,6.6,70.1,1189.3,33.1,Flood,81,7.62,Hybrid,Conventional,24,0,0,33356,25825,0
Wheat,Kharif,Black,12.86,7,62.6,1126.9,28.8,Flood,100.9,5.34,Hybrid,Conventional,17,0,1,2491,2025,0
Rice,Rabi,Sandy,6.2,7.3,26.8,676.2,22.5,Drip,21.8,1.5,Local,Conventional,18,0,1,2685,2045,0
Rice,Kharif,Loamy,10.27,7.4,64.2,268.8,30.2,Flood,65.5,8.65,Local,Conventional,34,1,0,3022,3557,1
Sugarcane,Rabi,Clay,2.56,8.3,36.5,1181.4,30.7,Rainfed,86.7,3.44,Certified,Mixed,12,1,0,38570,21264,0
Maize,Zaid,Sandy,9.73,8.5,58.3,1441.7,37.5,Rainfed,74.6,9.73,Local,Conventional,16,1,1,3179,2248,0
Maize,Kharif,Silty,6.82,7.5,40.5,512.2,35.7,Drip,101.6,1.62,Hybrid,Mixed,4,0,0,2163,2921,1
Rice,Kharif,Silty,16.63,6,79.9,620.6,33.9,Rainfed,17.9,9.6,Certified,Conventional,25,1,1,2592,3410,1
Rice,Rabi,Clay,2.08,8.1,35.8,439,20.7,Flood,86,1.36,Local,Conventional,34,0,0,2647,3546,1
Rice,Kharif,Clay,8.95,5.2,36.7,950,35.3,Rainfed,68.7,2.69,Hybrid,Mixed,28,1,0,2617,1900,0
Wheat,Rabi,Loamy,9.71,5.8,75.8,401.3,30,Flood,51.7,0.94,Local,Conventional,11,1,1,1693,1554,0
Maize,Kharif,Loamy,14.78,8.1,21.5,663.1,39.5,Flood,47.4,7.2,Certified,Mixed,13,0,1,2567,1612,0
Wheat,Rabi,Loamy,11.91,5.9,61.8,1106.1,40.1,Rainfed,78.3,8.58,Certified,Mixed,31,1,0,2510,1972,0
Wheat,Kharif,Loamy,13.68,5.8,63.5,928.2,19.3,Rainfed,108,4.62,Hybrid,Organic,25,0,0,2566,3423,1
Cotton,Rabi,Black,15.76,5.5,70.2,702.4,37.7,Flood,64.6,9.32,Certified,Conventional,39,1,0,440,235,0
Wheat,Rabi,Black,17.38,8,78.5,746.3,18.9,Sprinkler,100.7,6.11,Local,Organic,10,1,0,2041,2740,1
Wheat,Rabi,Loamy,6.96,6.8,78.5,930.7,26.8,Sprinkler,54.2,6.49,Certified,Mixed,24,1,1,2818,3577,1
Sugarcane,Kharif,Black,11.22,7.4,23.9,207.6,31,Sprinkler,21.3,8.53,Hybrid,Mixed,1,1,0,39241,42048,1
Wheat,Rabi,Loamy,16.96,5.8,69.3,302.1,21.6,Sprinkler,16.8,3.32,Certified,Organic,25,0,1,1713,2917,1
Maize,Zaid,Loamy,19.8,7.7,58.8,1345.6,35.9,Sprinkler,15.6,3.87,Certified,Organic,28,1,0,2493,2112,0
Sugarcane,Kharif,Loamy,17.9,7.7,58.8,301.2,18.2,Rainfed,51.8,9.11,Local,Conventional,36,1,1,33872,25405,0
Cotton,Kharif,Sandy,8.06,6.1,27.7,1118.8,22,Drip,47.1,9.06,Certified,Conventional,18,1,0,502,687,1
Rice,Kharif,Black,4.71,6.4,59,1396,31.9,Flood,89,9.78,Hybrid,Organic,6,0,1,2899,2994,1
Cotton,Rabi,Sandy,10.3,5.7,78.9,551.9,35.1,Drip,91.7,9.07,Local,Conventional,2,0,1,477,338,0
Wheat,Rabi,Loamy,15.09,8.4,74.7,681.6,40,Sprinkler,15.6,1.71,Hybrid,Conventional,3,1,1,2526,3725,1
Rice,Rabi,Sandy,10.36,7.3,46.3,939.6,34.9,Drip,34.3,8.33,Local,Organic,8,0,0,2115,2162,1
Wheat,Kharif,Clay,10.18,8.3,22.4,1346.2,34.1,Sprinkler,40.2,4.39,Certified,Mixed,31,0,0,1963,1342,0
Cotton,Kharif,Black,16.93,6.1,41.7,1424.5,27.5,Rainfed,70.2,9.91,Certified,Mixed,19,0,0,597,302,0
Wheat,Rabi,Sandy,7.87,7.7,69.6,1161.4,18,Rainfed,25.9,4.99,Local,Mixed,6,1,1,2825,1441,0
Wheat,Rabi,Loamy,17.34,7.7,62.1,312.6,20.9,Sprinkler,24.7,5.76,Hybrid,Mixed,14,0,0,2026,2440,1
Maize,Zaid,Sandy,8.73,7.4,47.6,1069.9,30.8,Flood,113.8,5.53,Hybrid,Conventional,3,0,0,2160,2008,0
Rice,Kharif,Sandy,7.24,8.4,23.3,733.4,34.2,Flood,98.5,3.56,Hybrid,Conventional,1,0,1,2029,3187,1
Rice,Rabi,Clay,9.63,6.4,45.6,811.9,28,Rainfed,29.9,1.21,Hybrid,Conventional,30,0,1,2595,3224,1
Rice,Kharif,Silty,15.49,5.5,48.1,263.9,35.5,Rainfed,54.7,9.01,Certified,Mixed,19,0,0,3466,1621,0
Rice,Kharif,Loamy,3.39,7.4,75.7,448.4,30.5,Flood,49.1,8.13,Local,Mixed,19,1,1,3245,3348,1
Rice,Rabi,Silty,4.73,7.6,58.5,1227.7,19.8,Flood,97,1.83,Hybrid,Mixed,9,0,1,2393,2066,0
Rice,Rabi,Black,19.08,7,38.7,790.1,22.6,Rainfed,66.1,7.88,Hybrid,Mixed,7,1,0,2527,2448,0
Maize,Zaid,Black,4.33,5.7,51.5,592.2,38.2,Drip,24.1,6.45,Local,Conventional,37,0,1,3163,3896,1
Rice,Kharif,Sandy,11.79,6.8,24,699.2,35.4,Flood,91.3,4.39,Certified,Conventional,7,1,0,2957,3667,1
